Price,Close,High,Low,Open,High-Low,Open-Close,Volume,SMA_2,SMA_5,EMA_5,EMA_8,RSI_7,ATR_10,ADX_10,CCI_10,MACD,MACD_signal,MACD_hist,STOCH_slowk,STOCH_slowd,BB_upper,BB_middle,BB_lower
Ticker,^NSEBANK,^NSEBANK,^NSEBANK,^NSEBANK,,,^NSEBANK,,,,,,,,,,,,,,,,
Datetime,,,,,,,,,,,,,,,,,,,,,,,
2025-03-26 14:55:00+05:30,51143,51150.30078,51070.30078,51140.75,80,-2.25,0,51141.27539,51176.30078,51166.9772,51176.37524,37.47307489,63.11378348,55.26083094,-220.2872098,-19.92961978,-16.91004678,-3.019572997,34.7812797,40.23175523,51244.07241,51190.05776,51136.0431
2025-03-26 15:00:00+05:30,51203,51210.80078,51133.05078,51144.89844,77.75,-58.1015625,0,51173,51174.43047,51178.9848,51182.29185,52.49196663,64.57740513,52.70079827,-5.471844896,-12.45693965,-15.12880393,2.671864278,44.52104763,36.98187599,51245.03234,51190.64704,51136.26174
2025-03-26 15:05:00+05:30,51223.44922,51230.39844,51161.60156,51208.25,68.796875,-15.19921875,0,51213.22461,51183.25,51193.80627,51191.43794,56.63381585,64.99935212,49.41325059,64.36994407,-4.452065886,-10.85810871,6.406042825,75.17879403,51.49370712,51249.896,51192.93973,51135.98346
2025-03-26 15:10:00+05:30,51239.19922,51245.64844,51197.55078,51226.89844,48.09765625,-12.30078125,0,51231.32422,51189.63984,51208.93726,51202.05155,59.78427439,63.30918253,45.7169631,115.8401287,2.880594209,-5.362627543,8.243221752,91.96314799,70.55432989,51253.97677,51194.07896,51134.18115
2025-03-26 15:15:00+05:30,51215.80078,51241.55078,51191.44922,51241.55078,50.1015625,25.75,0,51227.5,51204.88984,51211.2251,51205.10694,53.09841547,61.98842053,42.62347291,81.39112329,3.909768738,-1.65366903,5.563437769,91.65314627,86.26502943,51254.47012,51194.28962,51134.10912
2025-03-26 15:20:00+05:30,51214.85156,51225.75,51193.80078,51216.14844,31.94921875,1.296875,0,51215.32617,51219.26016,51212.43392,51207.27241,52.81884878,58.98450035,39.83933173,58.33364601,4.244690517,0.705674789,3.539015728,83.98293122,89.19974183,51257.26184,51196.4933,51135.72477
2025-03-26 15:25:00+05:30,51180.69922,51220.35156,51171.80078,51214.60156,48.55078125,33.90234375,0,51197.77539,51214.8,51201.85569,51201.36726,43.25845366,57.94112844,38.23681058,-0.02495498,-0.602414257,0.18243917,-0.784853427,59.44979329,78.36195693,51255.3923,51198.33956,51141.28683
2025-03-27 09:15:00+05:30,51326.55078,51326.55078,51080.69922,51084,245.8515625,-242.5507813,0,51253.625,51235.42031,51243.42072,51229.18582,70.16475108,76.73217185,36.51921548,125.3890315,17.29049641,7.025662067,10.26483435,65.12378914,69.51883788,51294.16579,51206.77176,51119.37774
2025-03-27 09:20:00+05:30,51388.10156,51413.25,51244.05078,51336.05078,169.1992188,-52.05078125,0,51357.32617,51265.20078,51291.64767,51264.50043,75.81184265,85.97887654,36.92650332,236.8370186,36.33257388,18.74842679,17.58414709,71.72011338,65.43123194,51346.43172,51218.39676,51090.36181
2025-03-27 09:25:00+05:30,51408.89844,51440.60156,51336.19922,51382.44922,104.4023438,-26.44921875,0,51398.5,51303.82031,51330.73126,51296.58887,77.49125646,87.82122326,37.76717873,187.9684382,49.4790086,31.04065952,18.43834909,94.54296732,77.12895661,51393.81549,51234.43248,51075.04947
